date,value
10-03-2015,25960
11-03-2015,25716
12-03-2015,25690
13-03-2015,25909
14-03-2015,25922
16-03-2015,25797
17-03-2015,25635
18-03-2015,25653
19-03-2015,25970
20-03-2015,26195
23-03-2015,26208
24-03-2015,26350
25-03-2015,26491
26-03-2015,26805
27-03-2015,26564
30-03-2015,26239
31-03-2015,26061
01-04-2015,26510
02-04-2015,26548
06-04-2015,26941
07-04-2015,26829
08-04-2015,26682
09-04-2015,26452
10-04-2015,26703
13-04-2015,26616
14-04-2015,26454
15-04-2015,26644
16-04-2015,26533
17-04-2015,26702
20-04-2015,26719
21-04-2015,26803
22-04-2015,26489
23-04-2015,26777
24-04-2015,26574
27-04-2015,26944
28-04-2015,27036
29-04-2015,27096
30-04-2015,26593
01-05-2015,26483
04-05-2015,26747
05-05-2015,26852
06-05-2015,26928
07-05-2015,26951
08-05-2015,26903
11-05-2015,26853
12-05-2015,27180
13-05-2015,27539
14-05-2015,27444
15-05-2015,27473
18-05-2015,27629
19-05-2015,27309
20-05-2015,27299
21-05-2015,27130
22-05-2015,27105
25-05-2015,27180
26-05-2015,26917
27-05-2015,26900
28-05-2015,26899
29-05-2015,26866
01-06-2015,26690
02-06-2015,26856
03-06-2015,26806
04-06-2015,26564
05-06-2015,26439
08-06-2015,26693
09-06-2015,26754
10-06-2015,26850
11-06-2015,26772
12-06-2015,26773
15-06-2015,26915
16-06-2015,26831
17-06-2015,26763
18-06-2015,27031
19-06-2015,26959
22-06-2015,26589
23-06-2015,26478
24-06-2015,26418
25-06-2015,26365
26-06-2015,26399
29-06-2015,26508
30-06-2015,26301
01-07-2015,26182
02-07-2015,26024
03-07-2015,26393
06-07-2015,26335
07-07-2015,26032
08-07-2015,26222
09-07-2015,26071
10-07-2015,26071
13-07-2015,26033
14-07-2015,25934
15-07-2015,25852
16-07-2015,25774
17-07-2015,25505
20-07-2015,25042
21-07-2015,24908
22-07-2015,24688
23-07-2015,24742
24-07-2015,24729
27-07-2015,24910
28-07-2015,24768
29-07-2015,24729
30-07-2015,24739
31-07-2015,24789
03-08-2015,24696
04-08-2015,24638
05-08-2015,24545
06-08-2015,24692
07-08-2015,24796
10-08-2015,25026
11-08-2015,25323
12-08-2015,25898
13-08-2015,25763
14-08-2015,25636
17-08-2015,25924
18-08-2015,25890
19-08-2015,26084
20-08-2015,26723
21-08-2015,27090
24-08-2015,27290
25-08-2015,26595
26-08-2015,26341
27-08-2015,26197
28-08-2015,26490
31-08-2015,26540
01-09-2015,26623
02-09-2015,26417
03-09-2015,26196
04-09-2015,26256
07-09-2015,26506
08-09-2015,26436
09-09-2015,26069
10-09-2015,26179
11-09-2015,25981
14-09-2015,26078
15-09-2015,25982
16-09-2015,26285
17-09-2015,26176
18-09-2015,26476
21-09-2015,26345
22-09-2015,26242
23-09-2015,26476
24-09-2015,26965
25-09-2015,26744
28-09-2015,26508
29-09-2015,26253
30-09-2015,25803
01-10-2015,25782
05-10-2015,26094
06-10-2015,26512
07-10-2015,26449
08-10-2015,26351
09-10-2015,26515
12-10-2015,26678
13-10-2015,26872
14-10-2015,27088
15-10-2015,27142
16-10-2015,27029
19-10-2015,26882
20-10-2015,26993
21-10-2015,26821
22-10-2015,26737
23-10-2015,26676
26-10-2015,26689
27-10-2015,26790
28-10-2015,26930
29-10-2015,26470
30-10-2015,26355
02-11-2015,26228
03-11-2015,25863
04-11-2015,25646
05-11-2015,25791
06-11-2015,25538
09-11-2015,25699
10-11-2015,25604
11-11-2015,25490
12-11-2015,25341
13-11-2015,25388
16-11-2015,25360
17-11-2015,25038
18-11-2015,25108
19-11-2015,25308
20-11-2015,25252
23-11-2015,25180
24-11-2015,25305
25-11-2015,25230
26-11-2015,25288
27-11-2015,25071
30-11-2015,25114
01-12-2015,25018
02-12-2015,24895
03-12-2015,25043
04-12-2015,25631
07-12-2015,25443
08-12-2015,25424
09-12-2015,25499
10-12-2015,25328
11-12-2015,25581
14-12-2015,25256
15-12-2015,25173
16-12-2015,25372
17-12-2015,24766
18-12-2015,25011
21-12-2015,25302
